size,iteration,start_ts,stop_ts,time(ms)
32768,-21,1767561385067919348,1767561387090016275,2022.09
32768,-20,1767561387090075219,1767561387198129288,108.047
32768,-19,1767561387198155592,1767561387284997733,86.8352
32768,-18,1767561387285006693,1767561387374106489,89.0935
32768,-17,1767561387374114265,1767561387461194197,87.0735
32768,-16,1767561387461201653,1767561387546617463,85.4092
32768,-15,1767561387546625847,1767561387631692986,85.061
32768,-14,1767561387631699897,1767561387717554169,85.8474
32768,-13,1767561387717561433,1767561387803308569,85.7406
32768,-12,1767561387803315705,1767561387888731643,85.4096
32768,-11,1767561387888739163,1767561387973939069,85.1933
32768,-10,1767561387973946685,1767561388059174782,85.2218
32768,-9,1767561388059181470,1767561388147997845,88.8094
32768,-8,1767561388148004789,1767561388235126673,87.1151
32768,-7,1767561388235134641,1767561388321285712,86.1446
32768,-6,1767561388321292784,1767561388408744650,87.4455
32768,-5,1767561388408751689,1767561388497010786,88.2529
32768,-4,1767561388497017730,1767561388583127521,86.1032
32768,-3,1767561388583134753,1767561388673702960,90.5615
32768,-2,1767561388673709360,1767561388761389578,87.6738
32768,-1,1767561388761396522,1767561388848553926,87.1505
32768,0,1767561388848561190,1767561388934733540,86.1654
32768,1,1767561388934740132,1767561389019964519,85.2182
32768,2,1767561389019971047,1767561389105186377,85.2088
32768,3,1767561389105193705,1767561389191321384,86.1212
32768,4,1767561389191328488,1767561389280933915,89.5989
32768,5,1767561389280940603,1767561389367065018,86.1177
32768,6,1767561389367075482,1767561389456382511,89.3009
32768,7,1767561389456389743,1767561389542036142,85.6397
32768,8,1767561389542043598,1767561389627614736,85.5642
32768,9,1767561389627622896,1767561389715067403,87.4385
32768,10,1767561389715075178,1767561389802225829,87.1445
32768,11,1767561389802232549,1767561389888624228,86.3854
32768,12,1767561389888631396,1767561389977570522,88.9325
32768,13,1767561389977578746,1767561390062874907,85.2896
32768,14,1767561390062882459,1767561390152871149,89.9823
32768,15,1767561390152879469,1767561390238853357,85.9673
32768,16,1767561390238860845,1767561390327185445,88.3183
32768,17,1767561390327192677,1767561390414665598,87.4669
32768,18,1767561390414672990,1767561390500869757,86.1904
32768,19,1767561390500876861,1767561390587950297,87.067
32768,20,1767561390587957977,1767561390678317322,90.3527
32768,21,1767561390678324554,1767561390763255757,84.9243
32768,22,1767561390763263149,1767561390852883616,89.6144
32768,23,1767561390852890624,1767561390939322335,86.4253
32768,24,1767561390939329439,1767561391025369629,86.0336
32768,25,1767561391025376445,1767561391110615295,85.233
32768,26,1767561391110622015,1767561391196265696,85.6369
32768,27,1767561391196274432,1767561391281465601,85.1852
32768,28,1767561391281473025,1767561391366675940,85.197
32768,29,1767561391366682948,1767561391451870694,85.1809
32768,30,1767561391451942246,1767561391537094569,85.1457
32768,31,1767561391537102985,1767561391623101287,85.9919
32768,32,1767561391623108103,1767561391709057575,85.943
32768,33,1767561391709066023,1767561391795184838,86.1129
32768,34,1767561391795191654,1767561391881934595,86.7365
32768,35,1767561391881941891,1767561391968142754,86.1943
32768,36,1767561391968148961,1767561392053372324,85.2164
32768,37,1767561392053379364,1767561392138918341,85.5326
32768,38,1767561392138925413,1767561392224943908,86.0125
32768,39,1767561392224951012,1767561392310788196,85.831
32768,40,1767561392310794852,1767561392396061414,85.2603
32768,41,1767561392396068262,1767561392481418280,85.3434
32768,42,1767561392481425064,1767561392567162631,85.7308
