sample,power(W),gpu_util(%),core_clock(MHz),mem_clock(MHz),timestamp_ns,temp(C),energy(mJ)
0,99.0450,0,345,2619,1767559890853401746,34,43148515
1,99.0450,0,345,2619,1767559890857574716,34,43148515
2,99.0450,0,345,2619,1767559890861993413,34,43148515
3,99.0450,0,345,2619,1767559890868270565,34,43148515
4,99.0450,0,345,2619,1767559890874939202,34,43148515
5,99.0450,0,345,2619,1767559890879043756,34,43148515
6,99.0450,0,345,2619,1767559890883130423,34,43148515
7,99.0450,0,345,2619,1767559890888870713,34,43166312
8,99.0450,0,345,2619,1767559890905235108,34,43166312
9,99.0450,0,345,2619,1767559890913384377,34,43166312
10,99.0450,0,345,2619,1767559890917799106,34,43166312
11,99.0230,0,345,2619,1767559890921824781,34,43166312
12,99.0230,0,345,2619,1767559890926850899,34,43166312
13,99.0230,0,345,2619,1767559890935369766,34,43166312
14,99.0230,0,345,2619,1767559890939698063,34,43166312
15,99.0230,0,345,2619,1767559890943928505,34,43166312
16,99.0230,0,345,2619,1767559890948371042,34,43166312
17,99.0230,0,345,2619,1767559890955010048,34,43166312
18,99.0230,0,345,2619,1767559890959440713,34,43166312
19,99.0230,0,345,2619,1767559890965355018,34,43166312
20,99.0230,0,345,2619,1767559890973405888,34,43166312
21,99.0230,0,345,2619,1767559890979453280,34,43166312
22,99.0230,0,345,2619,1767559890983392043,34,43166312
23,99.0230,0,345,2619,1767559890989036718,34,43183648
24,99.0230,0,345,2619,1767559891004991547,34,43183648
25,99.0230,0,345,2619,1767559891013266672,34,43183648
26,99.0230,0,345,2619,1767559891019731278,34,43183648
27,99.0230,0,345,2619,1767559891023804121,34,43183648
28,99.0230,0,345,2619,1767559891028734815,34,43183648
29,99.0230,0,345,2619,1767559891035453436,34,43183648
30,99.0750,0,345,2619,1767559891039781893,34,43183648
31,99.0750,0,345,2619,1767559891043981392,34,43183648
32,99.0750,0,345,2619,1767559891048338777,34,43183648
33,99.0750,0,345,2619,1767559891054963798,34,43183648
34,99.0750,0,345,2619,1767559891073522645,34,43183648
35,99.0750,0,345,2619,1767559891144976097,34,43200821
36,99.0750,0,345,2619,1767559891149058859,34,43200821
37,99.0750,0,345,2619,1767559891155718184,34,43200821
38,99.0750,0,345,2619,1767559891160061906,34,43200821
39,99.0750,0,345,2619,1767559891165499733,34,43200821
40,99.0750,0,885,2619,1767559891173568299,34,43200821
41,99.0750,0,885,2619,1767559891178034900,34,43200821
42,99.0750,0,885,2619,1767559891182093759,34,43200821
43,99.0750,0,885,2619,1767559891186213578,34,43218553
44,99.2970,0,885,2619,1767559891204004076,34,43218553
45,99.2970,0,885,2619,1767559891208845715,34,43218553
46,99.2970,0,885,2619,1767559891215691311,34,43218553
47,99.2970,0,885,2619,1767559891219558171,34,43218553
48,99.2970,0,885,2619,1767559891225839675,34,43218553
49,99.2970,0,885,2619,1767559891236813121,34,43218553
50,99.2970,0,885,2619,1767559891240802316,34,43218553
51,99.2970,0,885,2619,1767559891245992081,34,43218553
52,99.2970,0,885,2619,1767559891254048391,34,43218553
53,99.2970,0,885,2619,1767559891258160145,34,43218553
54,99.2970,0,885,2619,1767559891261979262,34,43218553
55,99.2970,0,885,2619,1767559891268064831,34,43218553
56,99.2970,0,885,2619,1767559891274638652,34,43218553
57,99.2970,0,885,2619,1767559891278608167,34,43218553
58,99.2970,0,885,2619,1767559891282381523,34,43218553
59,99.2970,0,885,2619,1767559891286703997,34,43236440
60,99.2970,0,885,2619,1767559891304462400,34,43236440
61,99.2970,0,885,2619,1767559891309652773,34,43236440
62,99.6850,0,885,2619,1767559891315133801,34,43236440
63,99.6850,0,885,2619,1767559891319119060,34,43236440
64,99.6850,0,885,2619,1767559891323046399,34,43236440
65,99.6850,0,885,2619,1767559891328275908,34,43236440
66,99.6850,0,885,2619,1767559891334993537,34,43236440
67,99.6850,0,885,2619,1767559891338947500,34,43236440
68,99.6850,0,885,2619,1767559891343077526,34,43236440
69,99.6850,0,885,2619,1767559891348029148,34,43236440
70,99.6850,0,885,2619,1767559891354814234,34,43236440
71,99.6850,0,885,2619,1767559891358816709,34,43236440
72,99.6850,0,885,2619,1767559891362820976,34,43236440
73,99.6850,0,885,2619,1767559891368093396,34,43236440
74,99.6850,0,885,2619,1767559891374655794,34,43236440
75,99.6850,0,885,2619,1767559891381928780,34,43236440
76,99.6850,0,885,2619,1767559891386098966,34,43254099
77,99.6850,0,885,2619,1767559891403662362,34,43254099
78,99.6850,0,885,2619,1767559891408125508,34,43254099
79,99.6850,0,885,2619,1767559891414694913,34,43254099
80,99.6850,0,885,2619,1767559891419569767,34,43254099
81,99.6850,0,885,2619,1767559891423276884,34,43254099
82,99.6850,0,885,2619,1767559891428364121,34,43254099
83,99.6850,0,885,2619,1767559891435046582,34,43254099
84,100.1220,0,885,2619,1767559891438958818,34,43254099
85,100.1220,0,885,2619,1767559891442922062,34,43254099
86,100.1220,0,885,2619,1767559891448067379,34,43254099
87,100.1220,0,885,2619,1767559891454628081,34,43254099
88,100.1220,0,885,2619,1767559891458428829,34,43254099
89,100.1220,0,885,2619,1767559891462241161,34,43254099
90,100.1220,0,885,2619,1767559891466129012,34,43254099
91,100.1220,0,885,2619,1767559891474110571,34,43254099
92,100.1220,0,885,2619,1767559891482885309,34,43254099
93,100.1220,0,885,2619,1767559891488575231,34,43272179
94,100.1220,0,885,2619,1767559891506350467,34,43272179
95,100.1220,0,885,2619,1767559891514350521,34,43272179
96,100.1220,0,885,2619,1767559891517842598,34,43272179
97,100.1220,0,885,2619,1767559891521181909,34,43272179
98,100.1220,0,885,2619,1767559891524622819,34,43272179
99,100.1220,0,885,2619,1767559891531101857,34,43272179
100,100.1220,0,885,2619,1767559891537720447,34,43272179
101,100.1220,0,1980,2619,1767559891542216840,34,43272179
102,100.1220,0,1980,2619,1767559891545940404,34,43272179
103,100.1220,0,1980,2619,1767559891553770795,34,43272179
104,100.1220,0,1980,2619,1767559891557666871,34,43272179
105,103.9920,0,1980,2619,1767559891561143236,34,43272179
106,103.9920,0,1980,2619,1767559891564552723,34,43272179
107,103.9920,0,1980,2619,1767559891572758728,34,43272179
