size,iteration,start_ts,stop_ts,time(ms)
32768,-21,1767559892553832872,1767559894550171030,1996.33
32768,-20,1767559894550244534,1767559894658966302,108.713
32768,-19,1767559894659000702,1767559894744336001,85.3288
32768,-18,1767559894744344256,1767559894833501039,89.1505
32768,-17,1767559894833508239,1767559894920038892,86.5247
32768,-16,1767559894920046764,1767559895006848327,86.7953
32768,-15,1767559895006855495,1767559895092079018,85.2176
32768,-14,1767559895092085994,1767559895178311304,86.2193
32768,-13,1767559895178320168,1767559895265469217,87.1426
32768,-12,1767559895265477153,1767559895357397570,91.9142
32768,-11,1767559895357404770,1767559895452352690,94.9413
32768,-10,1767559895452361138,1767559895553573217,101.206
32768,-9,1767559895553581409,1767559895650901382,97.3139
32768,-8,1767559895650908486,1767559895754274699,103.36
32768,-7,1767559895754281867,1767559895847854434,93.5666
32768,-6,1767559895847861602,1767559895941054652,93.187
32768,-5,1767559895941061596,1767559896035003697,93.9361
32768,-4,1767559896035010545,1767559896125036219,90.0196
32768,-3,1767559896125042811,1767559896218646771,93.5978
32768,-2,1767559896218653139,1767559896314235616,95.5767
32768,-1,1767559896314242592,1767559896416251436,102.003
32768,0,1767559896416258604,1767559896512116696,95.8519
32768,1,1767559896512124344,1767559896604855828,92.7251
32768,2,1767559896604863892,1767559896703008051,98.1375
32768,3,1767559896703076211,1767559896801147411,98.0646
32768,4,1767559896801155347,1767559896897435516,96.2741
32768,5,1767559896897445468,1767559896993934853,96.4833
32768,6,1767559896993942469,1767559897090384110,96.4358
32768,7,1767559897090391438,1767559897186857846,96.4601
32768,8,1767559897186865494,1767559897283292959,96.4214
32768,9,1767559897283300735,1767559897379736104,96.4295
32768,10,1767559897379743624,1767559897475795826,96.0453
32768,11,1767559897475866962,1767559897571770910,95.8975
32768,12,1767559897571779101,1767559897667766345,95.9811
32768,13,1767559897667773769,1767559897763721172,95.9414
32768,14,1767559897763728340,1767559897860288572,96.5541
32768,15,1767559897860295740,1767559897956244615,95.9425
32768,16,1767559897956252071,1767559898053545483,97.2868
32768,17,1767559898053554219,1767559898151960937,98.4005
