sample,power(W),gpu_util(%),core_clock(MHz),mem_clock(MHz),timestamp_ns,temp(C),energy(mJ)
0,99.7450,0,345,2619,1767559971122719391,35,64797542
1,99.7450,0,345,2619,1767559971130761589,35,64797542
2,99.7450,0,345,2619,1767559971137865009,35,64797542
3,99.7450,0,345,2619,1767559971143144565,35,64797542
4,99.7450,0,345,2619,1767559971147784253,35,64797542
5,99.7450,0,345,2619,1767559971154616537,35,64797542
6,99.7450,0,345,2619,1767559971158644612,35,64797542
7,99.7450,0,345,2619,1767559971163006253,35,64797542
8,99.7450,0,345,2619,1767559971168263153,35,64797542
9,99.7450,0,345,2619,1767559971174897646,35,64797542
10,99.7450,0,345,2619,1767559971179073273,35,64797542
11,99.7450,0,345,2619,1767559971183341411,35,64797542
12,99.7170,0,345,2619,1767559971189397412,35,64815472
13,99.7170,0,345,2619,1767559971204772627,35,64815472
14,99.7170,0,345,2619,1767559971212978696,35,64815472
15,99.7170,0,345,2619,1767559971217067282,35,64815472
16,99.7170,0,345,2619,1767559971221831706,35,64815472
17,99.7170,0,345,2619,1767559971230637132,35,64815472
18,99.7170,0,345,2619,1767559971237917766,35,64815472
19,99.7170,0,345,2619,1767559971241997617,35,64815472
20,99.7170,0,345,2619,1767559971246085595,35,64815472
21,99.7170,0,345,2619,1767559971254224529,35,64815472
22,99.7170,0,345,2619,1767559971259474901,35,64815472
23,99.7170,0,345,2619,1767559971263971838,35,64815472
24,99.7170,0,345,2619,1767559971272776944,35,64815472
25,99.7170,0,345,2619,1767559971276899899,35,64815472
26,99.7170,0,345,2619,1767559971281590946,35,64815472
27,99.7170,0,345,2619,1767559971288341887,35,64832687
28,99.7170,0,345,2619,1767559971307298908,35,64832687
29,99.7170,0,345,2619,1767559971317286632,35,64832687
30,99.6200,0,345,2619,1767559971321547826,35,64832687
31,99.6200,0,345,2619,1767559971335873639,35,64832687
32,99.6200,0,345,2619,1767559971406195544,35,64850441
33,99.6200,0,345,2619,1767559971414299886,35,64850441
34,99.6200,0,345,2619,1767559971418300569,35,64850441
35,99.6200,0,345,2619,1767559971422660418,35,64850441
36,99.6200,0,345,2619,1767559971435314144,35,64850441
37,99.6200,0,345,2619,1767559971439128236,35,64850441
38,99.6200,0,345,2619,1767559971443426133,35,64850441
39,99.6200,0,345,2619,1767559971447949597,35,64850441
40,99.6200,0,840,2619,1767559971454378972,35,64850441
41,99.6200,0,840,2619,1767559971458664166,35,64850441
42,99.6200,0,840,2619,1767559971463933643,35,64850441
43,99.6200,0,840,2619,1767559971472676221,35,64850441
44,99.9850,0,840,2619,1767559971476660136,35,64850441
45,99.9850,0,840,2619,1767559971480648499,35,64850441
46,99.9850,0,840,2619,1767559971485703385,35,64868277
47,99.9850,0,840,2619,1767559971507317512,35,64868277
48,99.9850,0,840,2619,1767559971517703154,35,64868277
49,99.9850,0,840,2619,1767559971521731933,35,64868277
50,99.9850,0,840,2619,1767559971527264928,35,64868277
51,99.9850,0,840,2619,1767559971537471850,35,64868277
52,99.9850,0,840,2619,1767559971541852916,35,64868277
53,99.9850,0,840,2619,1767559971547632342,35,64868277
54,99.9850,0,840,2619,1767559971554211444,35,64868277
55,99.9850,0,840,2619,1767559971558169535,35,64868277
56,99.9850,0,840,2619,1767559971562148586,35,64868277
57,99.9850,0,885,2619,1767559971567725133,35,64868277
58,99.9850,0,885,2619,1767559971574442569,35,64868277
59,99.9850,0,885,2619,1767559971578332277,35,64868277
60,99.9850,0,885,2619,1767559971585662704,35,64886133
61,100.3840,0,885,2619,1767559971603361523,35,64886133
62,100.3840,0,885,2619,1767559971607610173,35,64886133
63,100.3840,0,885,2619,1767559971614216186,35,64886133
64,100.3840,0,885,2619,1767559971620049340,35,64886133
65,100.3840,0,885,2619,1767559971625256801,35,64886133
66,100.3840,0,885,2619,1767559971636264072,35,64886133
67,100.3840,0,885,2619,1767559971640443026,35,64886133
68,100.3840,0,885,2619,1767559971644394685,35,64886133
69,100.3840,0,885,2619,1767559971648480744,35,64886133
70,100.3840,0,885,2619,1767559971655273732,35,64886133
71,100.3840,0,885,2619,1767559971659240719,35,64886133
72,100.3840,0,885,2619,1767559971663114811,35,64886133
73,100.3840,0,885,2619,1767559971667720387,35,64886133
74,100.3840,0,885,2619,1767559971674183425,35,64886133
75,100.3840,0,885,2619,1767559971678079245,35,64886133
76,100.3840,0,885,2619,1767559971681901785,35,64886133
77,100.3840,0,885,2619,1767559971686165379,35,64904124
78,100.3840,0,885,2619,1767559971704052613,35,64904124
79,100.3840,0,885,2619,1767559971708169712,35,64904124
80,100.8140,0,885,2619,1767559971714846701,35,64904124
81,100.8140,0,885,2619,1767559971718696218,35,64904124
82,100.8140,0,885,2619,1767559971723508576,35,64904124
83,100.8140,0,885,2619,1767559971731408951,35,64904124
84,100.8140,0,885,2619,1767559971742731868,35,64904124
85,100.8140,0,885,2619,1767559971747457411,35,64904124
86,100.8140,0,885,2619,1767559971753811585,35,64904124
87,100.8140,0,885,2619,1767559971757370191,35,64904124
88,100.8140,0,885,2619,1767559971760748797,35,64904124
89,100.8140,0,885,2619,1767559971764247339,35,64904124
90,100.8140,0,885,2619,1767559971768237719,35,64904124
91,100.8140,0,885,2619,1767559971774689301,35,64904124
92,100.8140,0,885,2619,1767559971779888794,35,64904124
93,100.8140,0,885,2619,1767559971783615654,35,64904124
94,100.8140,0,885,2619,1767559971789851622,35,64924104
95,100.8140,0,885,2619,1767559971803881853,35,64924104
96,100.8140,0,885,2619,1767559971807941320,35,64924104
97,100.8140,0,1980,2619,1767559971814366694,35,64924104
98,100.8140,0,1980,2619,1767559971818861711,35,64924104
99,100.8140,0,1980,2619,1767559971822334812,35,64924104
100,100.8140,0,1980,2619,1767559971830122548,35,64924104
101,100.8140,0,1980,2619,1767559971836655761,35,64924104
102,105.5630,0,1980,2619,1767559971840116447,35,64924104
103,105.5630,0,1980,2619,1767559971843573421,35,64924104
104,105.5630,0,1980,2619,1767559971847635800,35,64924104
105,105.5630,0,1980,2619,1767559971854202326,35,64924104
106,105.5630,0,1980,2619,1767559971857607333,35,64924104
107,105.5630,0,1980,2619,1767559971861972558,35,64924104
108,105.5630,0,1980,2619,1767559971865354428,35,64924104
109,105.5630,0,1980,2619,1767559971873316402,35,64924104
110,105.5630,0,1980,2619,1767559971876808256,35,64924104
111,105.5630,0,1980,2619,1767559971880213166,35,64924104
112,105.5630,0,1980,2619,1767559971883578300,36,64924104
113,105.5630,0,1980,2619,1767559971890130778,36,64946984
114,105.5630,0,1980,2619,1767559971908338108,36,64946984
115,105.5630,0,1980,2619,1767559971916356210,36,64946984
116,105.5630,0,1980,2619,1767559971920223037,36,64946984
117,105.5630,0,1980,2619,1767559971923909738,36,64946984
118,105.5630,0,1980,2619,1767559971928032180,36,64946984
119,105.5630,0,1980,2619,1767559971934606866,36,64946984
120,105.5630,0,1980,2619,1767559971937870881,36,64946984
121,105.5630,0,1980,2619,1767559971942052171,36,64946984
122,105.5630,0,1980,2619,1767559971945511706,36,64946984
123,105.5630,0,1980,2619,1767559971953574896,36,64946984
124,105.5630,0,1980,2619,1767559971957091101,36,64946984
125,105.5630,0,1980,2619,1767559971960442764,36,64946984
126,112.4450,0,1980,2619,1767559971963817690,36,64946984
127,112.4450,0,1980,2619,1767559971967896964,36,64946984
128,112.4450,0,1980,2619,1767559971974411586,36,64946984
129,112.4450,0,1980,2619,1767559971977860432,36,64946984
130,112.4450,0,1980,2619,1767559971981689437,36,64946984
131,112.4450,0,1980,2619,1767559971985840935,36,64969493
132,112.4450,0,1980,2619,1767559972003231052,36,64969493
133,112.4450,0,1980,2619,1767559972007408662,36,64969493
134,112.4450,0,1980,2619,1767559972013895444,37,64969493
135,112.4450,0,1980,2619,1767559972018182782,37,64969493
136,112.4450,0,1980,2619,1767559972021519948,37,64969493
137,112.4450,0,1980,2619,1767559972025602839,37,64969493
138,112.4450,0,1980,2619,1767559972033729517,37,64969493
139,112.4450,0,1980,2619,1767559972037024796,37,64969493
140,112.4450,0,1980,2619,1767559972040342795,37,64969493
141,112.4450,0,1980,2619,1767559972043756441,37,64969493
142,112.4450,0,1980,2619,1767559972047958531,37,64969493
143,112.4450,0,1980,2619,1767559972054369953,37,64969493
144,112.4450,0,1980,2619,1767559972058121582,37,64969493
145,112.4450,0,1980,2619,1767559972061625755,37,64969493
146,112.4450,0,1980,2619,1767559972065018473,37,64969493
147,112.4450,0,1980,2619,1767559972074091131,37,64969493
148,112.4450,0,1980,2619,1767559972078340933,37,64969493
149,119.1050,0,1980,2619,1767559972081741747,37,64969493
150,119.1050,0,1980,2619,1767559972085934237,37,64992531
151,119.1050,0,1980,2619,1767559972104926905,37,64992531
152,119.1050,0,1980,2619,1767559972113101646,37,64992531
153,119.1050,0,1980,2619,1767559972116431453,37,64992531
154,119.1050,0,1980,2619,1767559972134925533,37,64992531
155,119.1050,0,1980,2619,1767559972138941384,37,64992531
156,119.1050,0,1980,2619,1767559972142793332,37,64992531
157,119.1050,0,1980,2619,1767559972147515771,37,64992531
158,119.1050,0,1980,2619,1767559972153903514,37,64992531
159,119.1050,0,1980,2619,1767559972158320578,37,64992531
160,119.1050,0,1980,2619,1767559972161980048,37,64992531
161,119.1050,0,1980,2619,1767559972167439540,37,64992531
162,119.1050,0,1980,2619,1767559972173816370,37,64992531
163,119.1050,0,1980,2619,1767559972177863069,37,64992531
164,119.1050,0,1980,2619,1767559972181739273,37,64992531
165,119.1050,0,1980,2619,1767559972185900819,37,65015527
166,119.1050,0,1980,2619,1767559972203300824,37,65015527
167,119.1050,0,1980,2619,1767559972207465506,37,65015527
168,125.7660,0,1980,2619,1767559972213864353,37,65015527
169,125.7660,0,1980,2619,1767559972217442383,37,65015527
170,125.7660,0,1980,2619,1767559972221081020,37,65015527
171,125.7660,0,1980,2619,1767559972225552292,37,65015527
172,125.7660,0,1980,2619,1767559972233606266,37,65015527
173,125.7660,0,1980,2619,1767559972238653855,37,65015527
174,125.7660,0,1980,2619,1767559972242074093,37,65015527
175,125.7660,0,1980,2619,1767559972245749338,37,65015527
176,125.7660,0,1980,2619,1767559972253623474,37,65015527
177,125.7660,0,1980,2619,1767559972256964704,37,65015527
178,125.7660,0,1980,2619,1767559972261167083,37,65015527
179,125.7660,0,1980,2619,1767559972264653944,37,65015527
180,125.7660,0,1980,2619,1767559972268676771,37,65015527
181,125.7660,0,1980,2619,1767559972275263713,37,65015527
182,125.7660,0,1980,2619,1767559972279652362,37,65015527
183,125.7660,0,1980,2619,1767559972283077496,37,65015527
184,125.7660,0,1980,2619,1767559972289005401,37,65038882
185,125.7660,0,1980,2619,1767559972303993003,37,65038882
186,125.7660,0,1980,2619,1767559972308037814,37,65038882
187,125.7660,0,1980,2619,1767559972314458964,37,65038882
188,131.6730,0,1980,2619,1767559972317880354,37,65038882
189,131.6730,0,1980,2619,1767559972321157905,37,65038882
190,131.6730,0,1980,2619,1767559972324858302,37,65038882
191,131.6730,0,1980,2619,1767559972333198226,37,65038882
192,131.6730,0,1980,2619,1767559972337137341,37,65038882
193,131.6730,0,1980,2619,1767559972341671846,37,65038882
194,131.6730,0,1980,2619,1767559972345751825,37,65038882
195,131.6730,0,1980,2619,1767559972353622120,37,65038882
196,131.6730,0,1980,2619,1767559972358421103,37,65038882
197,131.6730,0,1980,2619,1767559972361761533,38,65038882
198,131.6730,0,1980,2619,1767559972367334880,38,65038882
199,131.6730,0,1980,2619,1767559972373788574,38,65038882
200,131.6730,0,1980,2619,1767559972377850249,38,65038882
201,131.6730,0,1980,2619,1767559972381399126,38,65038882
202,131.6730,0,1980,2619,1767559972385460801,38,65061525
203,131.6730,0,1980,2619,1767559972402986310,38,65061525
204,131.6730,0,1980,2619,1767559972407469999,38,65061525
205,131.6730,0,1980,2619,1767559972414098412,38,65061525
206,131.6730,0,1980,2619,1767559972417441690,38,65061525
207,131.6730,0,1980,2619,1767559972420718185,38,65061525
208,131.6730,0,1980,2619,1767559972425282513,38,65061525
209,131.6730,0,1980,2619,1767559972433446247,38,65061525
210,136.8230,0,1980,2619,1767559972437044405,38,65061525
211,136.8230,0,1980,2619,1767559972440474819,38,65061525
212,136.8230,0,1980,2619,1767559972444366958,38,65061525
213,136.8230,0,1980,2619,1767559972448365881,38,65061525
214,136.8230,0,1980,2619,1767559972454846167,38,65061525
215,136.8230,0,1980,2619,1767559972458269893,38,65061525
216,136.8230,0,1980,2619,1767559972461768179,38,65061525
217,136.8230,0,1980,2619,1767559972465934333,38,65061525
218,136.8230,0,1980,2619,1767559972473845108,38,65061525
219,136.8230,0,1980,2619,1767559972477848991,38,65061525
220,136.8230,0,1980,2619,1767559972481979594,38,65061525
221,136.8230,0,1980,2619,1767559972486150964,38,65084681
222,136.8230,0,1980,2619,1767559972505366512,38,65084681
223,136.8230,0,1980,2619,1767559972513262758,38,65084681
224,136.8230,0,1980,2619,1767559972516566645,38,65084681
225,136.8230,0,1980,2619,1767559972520055683,38,65084681
226,136.8230,0,1980,2619,1767559972523672048,38,65084681
227,136.8230,0,1980,2619,1767559972527849115,38,65084681
228,136.8230,0,1980,2619,1767559972534409368,38,65084681
229,136.8230,0,1980,2619,1767559972538055141,38,65084681
230,136.8230,0,1980,2619,1767559972541600403,38,65084681
231,136.8230,0,1980,2619,1767559972545468030,38,65084681
232,136.8230,0,1980,2619,1767559972553654964,38,65084681
233,136.8230,0,1980,2619,1767559972557069058,38,65084681
234,144.5700,0,1980,2619,1767559972560416720,38,65084681
235,144.5700,0,1980,2619,1767559972563844574,38,65084681
236,144.5700,0,1980,2619,1767559972567858089,38,65084681
237,144.5700,0,1980,2619,1767559972574361032,38,65084681
238,144.5700,0,1980,2619,1767559972577807446,38,65084681
239,144.5700,0,1980,2619,1767559972581389315,38,65084681
