sample,power(W),gpu_util(%),core_clock(MHz),mem_clock(MHz),timestamp_ns,temp(C),energy(mJ)
0,95.2120,0,345,2619,1767561437855190226,35,60496977
1,95.2120,0,345,2619,1767561437859351090,35,60496977
2,95.2120,0,345,2619,1767561437863469587,35,60496977
3,95.2120,0,345,2619,1767561437871501655,35,60496977
4,95.2120,0,345,2619,1767561437878581121,35,60496977
5,95.2120,0,345,2619,1767561437883309469,35,60514517
6,95.2120,0,345,2619,1767561437901353173,35,60514517
7,95.2120,0,345,2619,1767561437905844019,35,60514517
8,95.2120,0,345,2619,1767561437912491009,35,60514517
9,95.2120,0,345,2619,1767561437916592450,35,60514517
10,95.2120,0,345,2619,1767561437920779875,35,60514517
11,95.2120,0,345,2619,1767561437928252554,35,60514517
12,95.2120,0,345,2619,1767561437935522355,35,60514517
13,95.2850,0,345,2619,1767561437939783795,35,60514517
14,95.2850,0,345,2619,1767561437945050123,35,60514517
15,95.2850,0,345,2619,1767561437951680089,35,60514517
16,95.2850,0,345,2619,1767561437956546421,35,60514517
17,95.2850,0,345,2619,1767561437960651862,35,60514517
18,95.2850,0,345,2619,1767561437965128275,35,60514517
19,95.2850,0,345,2619,1767561437971736737,35,60514517
20,95.2850,0,345,2619,1767561437976166816,35,60514517
21,95.2850,0,345,2619,1767561437983109388,35,60531925
22,95.2850,0,345,2619,1767561438001735679,35,60531925
23,95.2850,0,345,2619,1767561438010092064,35,60531925
24,95.2850,0,345,2619,1767561438014140450,35,60531925
25,95.2850,0,345,2619,1767561438018653504,35,60531925
26,95.2850,0,345,2619,1767561438023951159,35,60531925
27,95.2850,0,345,2619,1767561438034420136,35,60531925
28,95.2850,0,345,2619,1767561438038621897,35,60531925
29,95.2850,0,345,2619,1767561438043146631,35,60531925
30,95.2850,0,345,2619,1767561438051262537,35,60531925
31,95.2680,0,345,2619,1767561438055691656,35,60531925
32,95.2680,0,345,2619,1767561438059819464,35,60531925
33,95.2680,0,345,2619,1767561438065083361,35,60531925
34,95.2680,0,345,2619,1767561438071983597,35,60531925
35,95.2680,0,345,2619,1767561438099286751,35,60549285
36,95.2680,0,345,2619,1767561438179333794,35,60549285
37,95.2680,0,345,2619,1767561438183716257,35,60566813
38,95.2680,0,345,2619,1767561438206207159,35,60566813
39,95.2680,0,345,2619,1767561438215986254,35,60566813
40,95.2680,0,345,2619,1767561438221460836,35,60566813
41,95.2680,0,345,2619,1767561438228709486,35,60566813
42,95.2680,0,345,2619,1767561438235758776,35,60566813
43,95.4210,0,345,2619,1767561438239680218,35,60566813
44,95.4210,0,345,2619,1767561438244993299,35,60566813
45,95.4210,0,345,2619,1767561438251592161,35,60566813
46,95.4210,0,345,2619,1767561438256438365,35,60566813
47,95.4210,0,345,2619,1767561438260417886,35,60566813
48,95.4210,0,345,2619,1767561438265153274,35,60566813
49,95.4210,0,345,2619,1767561438271733545,35,60566813
