sample,power(W),gpu_util(%),core_clock(MHz),mem_clock(MHz),timestamp_ns,temp(C),energy(mJ)
0,74.2740,0,345,2619,1767561437963160404,36,58212513
1,74.2740,0,345,2619,1767561437969882684,36,58212513
2,74.2740,0,345,2619,1767561437974615149,36,58212513
3,74.2740,0,345,2619,1767561437979029470,36,58212513
4,74.2740,0,345,2619,1767561437990526520,36,58212513
5,74.2740,0,345,2619,1767561437994627434,36,58212513
6,74.2740,0,345,2619,1767561437998995707,36,58212513
7,74.2740,0,345,2619,1767561438003152077,36,58212513
8,74.2740,0,345,2619,1767561438009724055,36,58212513
9,74.2740,0,345,2619,1767561438013879914,36,58212513
10,74.2740,0,345,2619,1767561438017960284,36,58212513
11,74.2740,0,345,2619,1767561438022815276,36,58212513
12,74.2740,0,345,2619,1767561438029447126,36,58212513
13,74.2310,0,345,2619,1767561438033547175,36,58212513
14,74.2310,0,345,2619,1767561438037673113,36,58212513
15,74.2310,0,345,2619,1767561438043348038,36,58229260
16,74.2310,0,345,2619,1767561438059943279,36,58229260
17,74.2310,0,345,2619,1767561438068054996,36,58229260
18,74.2310,0,345,2619,1767561438072154822,36,58229260
19,74.2310,0,345,2619,1767561438076190808,37,58229260
20,74.2310,0,345,2619,1767561438080474154,37,58229260
21,74.2310,0,345,2619,1767561438091530821,37,58229260
22,74.2310,0,345,2619,1767561438096749171,37,58229260
23,74.2310,0,345,2619,1767561438100989348,37,58229260
24,74.2310,0,345,2619,1767561438109071977,37,58229260
25,74.2310,0,345,2619,1767561438113455451,37,58229260
26,74.2310,0,345,2619,1767561438118052459,37,58229260
27,74.2310,0,345,2619,1767561438122864635,37,58229260
28,74.2310,0,345,2619,1767561438129416870,37,58229260
29,74.2310,0,345,2619,1767561438133782871,37,58229260
30,74.2310,0,345,2619,1767561438138356072,37,58229260
31,74.3240,0,345,2619,1767561438157314344,37,58245959
32,74.3240,0,345,2619,1767561438234656260,37,58245959
33,74.3240,0,345,2619,1767561438238593687,36,58245959
34,74.3240,0,345,2619,1767561438244974241,36,58262639
35,74.3240,0,345,2619,1767561438265048830,36,58262639
36,74.3240,0,345,2619,1767561438273406243,36,58262639
37,74.3240,0,345,2619,1767561438279411503,36,58262639
38,74.3240,0,345,2619,1767561438290910984,36,58262639
39,74.3240,0,345,2619,1767561438295002170,36,58262639
40,74.3240,0,885,2619,1767561438299306027,36,58262639
41,74.3240,0,885,2619,1767561438307818702,36,58262639
42,74.3240,0,885,2619,1767561438312876542,36,58262639
43,74.3240,0,885,2619,1767561438316680785,36,58262639
44,74.4950,0,885,2619,1767561438320674276,36,58262639
45,74.4950,0,885,2619,1767561438328730761,36,58262639
46,74.4950,0,885,2619,1767561438332726907,36,58262639
47,74.4950,0,885,2619,1767561438336842798,36,58262639
48,74.4950,0,885,2619,1767561438341057280,36,58279144
49,74.4950,0,885,2619,1767561438358769508,36,58279144
50,74.4950,0,885,2619,1767561438362743799,36,58279144
51,74.4950,0,885,2619,1767561438369591999,36,58279144
52,74.4950,0,885,2619,1767561438374522383,36,58279144
53,74.4950,0,885,2619,1767561438378508001,36,58279144
54,74.4950,0,885,2619,1767561438385234859,36,58279144
55,74.4950,0,885,2619,1767561438392687634,36,58279144
56,74.4950,0,885,2619,1767561438396898884,36,58279144
57,74.4950,0,885,2619,1767561438402689873,36,58279144
58,74.4950,0,885,2619,1767561438409212315,36,58279144
59,74.4950,0,885,2619,1767561438413014158,36,58279144
60,74.4950,0,885,2619,1767561438418849851,36,58279144
61,74.4950,0,885,2619,1767561438423029933,36,58279144
62,74.4950,0,885,2619,1767561438429583575,36,58279144
63,74.4950,0,885,2619,1767561438433901896,36,58279144
64,74.8500,0,885,2619,1767561438438065626,36,58279144
65,74.8500,0,885,2619,1767561438443583847,36,58296324
66,74.8500,0,885,2619,1767561438459584562,36,58296324
67,74.8500,0,885,2619,1767561438463697380,36,58296324
68,74.8500,0,885,2619,1767561438470220430,36,58296324
69,74.8500,0,885,2619,1767561438474149537,36,58296324
70,74.8500,0,885,2619,1767561438478780241,36,58296324
71,74.8500,0,885,2619,1767561438485874682,36,58296324
72,74.8500,0,885,2619,1767561438492984578,36,58296324
73,74.8500,0,885,2619,1767561438496694166,37,58296324
74,74.8500,0,885,2619,1767561438500791688,37,58296324
75,74.8500,0,885,2619,1767561438509047659,37,58296324
76,74.8500,0,885,2619,1767561438513436381,37,58296324
77,74.8500,0,885,2619,1767561438517233584,37,58296324
78,74.8500,0,885,2619,1767561438521099139,37,58296324
79,74.8500,0,885,2619,1767561438529083848,37,58296324
80,74.8500,0,885,2619,1767561438533219867,37,58296324
81,74.8500,0,885,2619,1767561438537026702,37,58296324
82,74.8500,0,885,2619,1767561438541035360,37,58313143
83,74.8500,0,885,2619,1767561438558541414,37,58313143
84,74.8500,0,885,2619,1767561438562667320,37,58313143
85,75.3430,0,885,2619,1767561438569181761,37,58313143
86,75.3430,0,885,2619,1767561438578102244,37,58313143
87,75.3430,0,885,2619,1767561438584674030,37,58313143
88,75.3430,0,885,2619,1767561438591524311,37,58313143
89,75.3430,0,885,2619,1767561438595071083,37,58313143
90,75.3430,0,885,2619,1767561438598764159,37,58313143
91,75.3430,0,885,2619,1767561438602806737,37,58313143
92,75.3430,0,885,2619,1767561438609250268,37,58313143
93,75.3430,0,885,2619,1767561438612618128,37,58313143
94,75.3430,0,885,2619,1767561438616066725,37,58313143
95,75.3430,0,885,2619,1767561438620574230,37,58313143
96,75.3430,0,885,2619,1767561438628565947,37,58313143
97,75.3430,0,885,2619,1767561438631868272,37,58313143
98,75.3430,0,885,2619,1767561438635310468,37,58313143
