size,iteration,start_ts,stop_ts,time(ms)
32768,-21,1767561439717778739,1767561441752084521,2034.3
32768,-20,1767561441752145833,1767561441861570457,109.415
32768,-19,1767561441861601529,1767561441948399030,86.7899
32768,-18,1767561441948409878,1767561442038179305,89.7623
32768,-17,1767561442038187689,1767561442125540932,87.3466
32768,-16,1767561442125548996,1767561442212805023,87.2496
32768,-15,1767561442212814559,1767561442298319264,85.4976
32768,-14,1767561442298327648,1767561442383562595,85.2284
32768,-13,1767561442383571363,1767561442474088370,90.5104
32768,-12,1767561442474096722,1767561442562128875,88.0251
32768,-11,1767561442562137003,1767561442648949512,86.8054
32768,-10,1767561442648957288,1767561442734875527,85.9118
32768,-9,1767561442734883367,1767561442820298281,85.4082
32768,-8,1767561442820306217,1767561442907732420,87.4191
32768,-7,1767561442907740707,1767561442996570042,88.8228
32768,-6,1767561442996578138,1767561443083594101,87.0093
32768,-5,1767561443083601717,1767561443168780439,85.1724
32768,-4,1767561443168788535,1767561443257714957,88.9198
32768,-3,1767561443257723373,1767561443342650095,84.9198
32768,-2,1767561443342658031,1767561443431819621,89.1552
32768,-1,1767561443431827301,1767561443519906109,88.072
32768,0,1767561443519913533,1767561443606817369,86.8973
32768,1,1767561443606824729,1767561443692903736,86.0721
32768,2,1767561443692911352,1767561443784986212,92.0683
32768,3,1767561443784993860,1767561443870759652,85.7593
32768,4,1767561443870767396,1767561443960388823,89.6143
32768,5,1767561443960399127,1767561444046088984,85.6832
32768,6,1767561444046098040,1767561444134442575,88.3382
32768,7,1767561444134450831,1767561444222250088,87.7924
32768,8,1767561444222259400,1767561444310856415,88.5897
32768,9,1767561444310864159,1767561444399140887,88.2701
32768,10,1767561444399148663,1767561444485098518,85.9421
32768,11,1767561444485106742,1767561444575008361,89.8938
32768,12,1767561444575015945,1767561444664098750,89.0764
32768,13,1767561444664106334,1767561444750985690,86.8726
32768,14,1767561444750993914,1767561444836783066,85.7823
32768,15,1767561444836790842,1767561444922387771,85.5903
32768,16,1767561444922395515,1767561445009326360,86.9239
32768,17,1767561445009333976,1767561445095230935,85.8905
32768,18,1767561445095241591,1767561445180524793,85.2764
32768,19,1767561445180532441,1767561445266411865,85.8729
32768,20,1767561445266420761,1767561445356581354,90.154
32768,21,1767561445356589098,1767561445443896613,87.3007
32768,22,1767561445443904165,1767561445531057537,87.1473
32768,23,1767561445531065025,1767561445617495103,86.4223
32768,24,1767561445617502847,1767561445702613568,85.1038
32768,25,1767561445702621472,1767561445788529825,85.9009
32768,26,1767561445788537760,1767561445874681952,86.1371
32768,27,1767561445874689632,1767561445959643234,84.9472
32768,28,1767561445959651074,1767561446044859012,85.2012
32768,29,1767561446044866852,1767561446130321670,85.4484
32768,30,1767561446130392645,1767561446216198694,85.7989
32768,31,1767561446216207270,1767561446302747843,86.5341
32768,32,1767561446302755491,1767561446390659612,87.897
32768,33,1767561446390667036,1767561446480796942,90.1234
32768,34,1767561446480804590,1767561446566153519,85.3425
32768,35,1767561446566163279,1767561446655039013,88.8692
32768,36,1767561446655046885,1767561446741100964,86.0464
32768,37,1767561446741108580,1767561446830200378,89.0838
32768,38,1767561446830207770,1767561446916927318,86.7132
32768,39,1767561446916935222,1767561447003788787,86.8473
32768,40,1767561447003796499,1767561447091114094,87.3108
32768,41,1767561447091121582,1767561447176976141,85.8484
32768,42,1767561447176983597,1767561447266761760,89.7714
32768,43,1767561447266769024,1767561447355794966,89.0193
32768,44,1767561447355802966,1767561447442736721,86.9273
32768,45,1767561447442744305,1767561447529565614,86.8145
32768,46,1767561447529573038,1767561447616467211,86.8877
32768,47,1767561447616474539,1767561447702880265,86.3993
