size,iteration,start_ts,stop_ts,time(ms)
32768,-21,1767561385115332544,1767561387112806263,1997.47
32768,-20,1767561387112866999,1767561387223255318,110.381
32768,-19,1767561387223284725,1767561387307385850,84.0944
32768,-18,1767561387307396442,1767561387394302538,86.8998
32768,-17,1767561387394310922,1767561387478670733,84.3538
32768,-16,1767561387478737516,1767561387563241390,84.4976
32768,-15,1767561387563250318,1767561387649076423,85.8201
32768,-14,1767561387649084039,1767561387735024382,85.9341
32768,-13,1767561387735032094,1767561387821038900,86.0004
32768,-12,1767561387821048468,1767561387906996555,85.942
32768,-11,1767561387907004235,1767561387992969090,85.9583
32768,-10,1767561387992976866,1767561388078923097,85.9399
32768,-9,1767561388078932025,1767561388165442380,86.5043
32768,-8,1767561388165450316,1767561388251777824,86.3204
32768,-7,1767561388251785120,1767561388337718488,85.9274
32768,-6,1767561388337724759,1767561388423669582,85.9379
32768,-5,1767561388423676686,1767561388509661541,85.9789
32768,-4,1767561388509669189,1767561388595615196,85.9402
32768,-3,1767561388595684731,1767561388681663794,85.9726
32768,-2,1767561388681672178,1767561388767651017,85.973
32768,-1,1767561388767657929,1767561388853599936,85.9346
32768,0,1767561388853607136,1767561388939621047,86.0081
32768,1,1767561388939628215,1767561389025565038,85.931
32768,2,1767561389025572430,1767561389111587173,86.0081
32768,3,1767561389111594853,1767561389197545979,85.9452
32768,4,1767561389197553819,1767561389283517490,85.9579
32768,5,1767561389283529458,1767561389369489097,85.9534
32768,6,1767561389369498025,1767561389454543719,85.04
32768,7,1767561389454551015,1767561389539017034,84.4593
32768,8,1767561389539024362,1767561389624865058,85.8347
32768,9,1767561389624872513,1767561389711054359,86.1751
32768,10,1767561389711061623,1767561389797010286,85.9423
32768,11,1767561389797017869,1767561389883220258,86.1955
32768,12,1767561389883227810,1767561389970039571,86.8057
32768,13,1767561389970047411,1767561390056690149,86.6354
32768,14,1767561390056697893,1767561390142647132,85.9431
32768,15,1767561390142657564,1767561390228792529,86.1289
32768,16,1767561390228801233,1767561390314945575,86.1383
32768,17,1767561390314953158,1767561390400889534,85.9305
32768,18,1767561390400897374,1767561390486832213,85.9292
32768,19,1767561390486839797,1767561390572829580,85.9839
32768,20,1767561390572837196,1767561390658828962,85.9846
32768,21,1767561390658837602,1767561390744790105,85.946
32768,22,1767561390744798457,1767561390830802416,85.9981
32768,23,1767561390830809680,1767561390916757735,85.941
32768,24,1767561390916764839,1767561391002754078,85.9824
32768,25,1767561391002761566,1767561391088736149,85.9677
32768,26,1767561391088744885,1767561391174729708,85.9789
32768,27,1767561391174737516,1767561391260709698,85.9665
32768,28,1767561391260717378,1767561391346667801,85.9436
32768,29,1767561391346675289,1767561391432703632,86.0227
32768,30,1767561391432711983,1767561391518645798,85.9273
32768,31,1767561391518653446,1767561391604667293,86.0077
32768,32,1767561391604674461,1767561391690633844,85.9533
32768,33,1767561391690706068,1767561391776677419,85.965
32768,34,1767561391776685931,1767561391862750497,86.0587
32768,35,1767561391862757697,1767561391949471570,86.7079
32768,36,1767561391949479250,1767561392035612456,86.127
32768,37,1767561392035620328,1767561392121580734,85.9546
32768,38,1767561392121587966,1767561392207598869,86.0053
32768,39,1767561392207606389,1767561392293570220,85.9578
32768,40,1767561392293577164,1767561392379546019,85.9631
32768,41,1767561392379552899,1767561392465542266,85.9835
32768,42,1767561392465550074,1767561392551512849,85.9559
32768,43,1767561392551520209,1767561392637527943,86.0018
32768,44,1767561392637535079,1767561392724036378,86.4949
32768,45,1767561392724043450,1767561392809999185,85.9491
32768,46,1767561392810006545,1767561392895996808,85.9845
32768,47,1767561392896004008,1767561392981970943,85.9611
32768,48,1767561392981978431,1767561393067936534,85.9523
32768,49,1767561393067943478,1767561393153921837,85.9726
32768,50,1767561393153928877,1767561393239861124,85.9254
32768,51,1767561393239871108,1767561393326096185,86.2193
32768,52,1767561393326104025,1767561393412722474,86.6125
32768,53,1767561393412729802,1767561393498688065,85.9511
32768,54,1767561393498695457,1767561393584694392,85.9927
32768,55,1767561393584701368,1767561393670827310,86.1186
32768,56,1767561393670896525,1767561393757601343,86.6984
32768,57,1767561393757609887,1767561393843692853,86.077
32768,58,1767561393843700629,1767561393929640876,85.9335
32768,59,1767561393929647820,1767561394015783393,86.1299
32768,60,1767561394015790817,1767561394102052022,86.2556
32768,61,1767561394102059094,1767561394188013549,85.9476
32768,62,1767561394188020557,1767561394273967556,85.9403
32768,63,1767561394273974468,1767561394359934650,85.9546
32768,64,1767561394359945466,1767561394446025232,86.0739
32768,65,1767561394446032752,1767561394532731938,86.6936
32768,66,1767561394532739426,1767561394618867640,86.1209
32768,67,1767561394618874296,1767561394704816719,85.9362
32768,68,1767561394704823599,1767561394790773286,85.9426
32768,69,1767561394790781606,1767561394876746493,85.9589
32768,70,1767561394876753565,1767561394963007505,86.2482
32768,71,1767561394963014417,1767561395049716451,86.6961
32768,72,1767561395049723907,1767561395136430452,86.7009
32768,73,1767561395136437812,1767561395222700233,86.2557
32768,74,1767561395222706953,1767561395309086269,86.3729
32768,75,1767561395309092733,1767561395395045268,85.9458
32768,76,1767561395395052372,1767561395481036331,85.977
32768,77,1767561395481043307,1767561395567020417,85.9712
32768,78,1767561395567027937,1767561395653687763,86.6537
32768,79,1767561395653756242,1767561395739698025,85.9358
32768,80,1767561395739705865,1767561395825644320,85.9321
32768,81,1767561395825651488,1767561395911605816,85.9488
32768,82,1767561395911612856,1767561395997603247,85.9838
32768,83,1767561395997610351,1767561396084275776,86.6595
32768,84,1767561396084283840,1767561396170386806,86.0958
32768,85,1767561396170394678,1767561396256392461,85.9915
32768,86,1767561396256399788,1767561396343123934,86.7183
32768,87,1767561396343131325,1767561396429160948,86.0236
32768,88,1767561396429168500,1767561396515113547,85.9385
32768,89,1767561396515121099,1767561396601061186,85.9343
32768,90,1767561396601068738,1767561396687021626,85.9468
32768,91,1767561396687028954,1767561396773517389,86.4825
32768,92,1767561396773524620,1767561396860257501,86.726
32768,93,1767561396860327197,1767561396946371187,86.0382
32768,94,1767561396946379219,1767561397032349034,85.9634
32768,95,1767561397032357354,1767561397118510495,86.1466
32768,96,1767561397118517951,1767561397205227761,86.7042
32768,97,1767561397205234961,1767561397291967330,86.7268
32768,98,1767561397291974594,1767561397378705075,86.724
32768,99,1767561397378712019,1767561397464866505,86.1487
