sample,power(W),gpu_util(%),core_clock(MHz),mem_clock(MHz),timestamp_ns,temp(C),energy(mJ)
0,94.8170,0,345,2619,1767561383257303788,35,42281439
1,94.8170,0,345,2619,1767561383261481933,35,42281439
2,94.8170,0,345,2619,1767561383265594670,35,42281439
3,94.8170,0,345,2619,1767561383272490554,35,42281439
4,94.8170,0,345,2619,1767561383277322422,35,42281439
5,94.8170,0,345,2619,1767561383281168792,35,42281439
6,94.8170,0,345,2619,1767561383287638247,35,42299311
7,94.8170,0,345,2619,1767561383302110394,35,42299311
8,94.8170,0,345,2619,1767561383310520795,35,42299311
9,94.8170,0,345,2619,1767561383314664699,35,42299311
10,94.8170,0,345,2619,1767561383318969723,35,42299311
11,94.8170,0,345,2619,1767561383323843062,35,42299311
12,94.8170,0,345,2619,1767561383334646181,35,42299311
13,94.8840,0,345,2619,1767561383338781478,35,42299311
14,94.8840,0,345,2619,1767561383342975270,35,42299311
15,94.8840,0,345,2619,1767561383351090920,35,42299311
16,94.8840,0,345,2619,1767561383356801277,35,42299311
17,94.8840,0,345,2619,1767561383361903287,35,42299311
18,94.8840,0,345,2619,1767561383365953305,35,42299311
19,94.8840,0,345,2619,1767561383372502087,35,42299311
20,94.8840,0,345,2619,1767561383376861126,35,42299311
21,94.8840,0,345,2619,1767561383380864903,35,42299311
22,94.8840,0,345,2619,1767561383386834491,35,42316604
23,94.8840,0,345,2619,1767561383402905185,35,42316604
24,94.8840,0,345,2619,1767561383410848805,35,42316604
25,94.8840,0,345,2619,1767561383414890215,35,42316604
26,94.8840,0,345,2619,1767561383418935208,35,42316604
27,94.8840,0,345,2619,1767561383423439686,35,42316604
28,94.8840,0,345,2619,1767561383434326644,35,42316604
29,94.8840,0,345,2619,1767561383438868913,35,42316604
30,94.8840,0,345,2619,1767561383443325200,35,42316604
31,94.8840,0,345,2619,1767561383451406899,35,42316604
32,94.8610,0,345,2619,1767561383455592212,35,42316604
33,94.8610,0,345,2619,1767561383461193897,35,42316604
34,94.8610,0,345,2619,1767561383465970437,35,42316604
35,94.8610,0,345,2619,1767561383472788785,35,42316604
36,94.8610,0,345,2619,1767561383477076529,35,42316604
37,94.8610,0,345,2619,1767561383481450896,35,42316604
38,94.8610,0,345,2619,1767561383487860320,35,42334039
39,94.8610,0,345,2619,1767561383503843015,35,42334039
40,94.8610,0,345,2619,1767561383583566413,35,42351054
41,94.8610,0,345,2619,1767561383605059819,35,42351054
42,94.8610,0,345,2619,1767561383614338629,35,42351054
43,94.8610,0,345,2619,1767561383617997641,35,42351054
44,94.8610,0,345,2619,1767561383622457351,35,42351054
45,94.8610,0,345,2619,1767561383633775218,35,42351054
46,94.8610,0,345,2619,1767561383637678421,35,42351054
47,94.9620,0,345,2619,1767561383642298066,35,42351054
48,94.9620,0,345,2619,1767561383646225844,35,42351054
49,94.9620,0,345,2619,1767561383652887394,35,42351054
50,94.9620,0,345,2619,1767561383657990363,35,42351054
51,94.9620,0,345,2619,1767561383663058933,35,42351054
52,94.9620,0,345,2619,1767561383671033369,35,42351054
53,94.9620,0,345,2619,1767561383674871260,35,42351054
54,94.9620,0,345,2619,1767561383680684240,35,42351054
55,94.9620,0,345,2619,1767561383686632835,35,42368889
56,94.9620,0,345,2619,1767561383701794257,35,42368889
57,94.9620,0,345,2619,1767561383710250225,35,42368889
58,94.9620,0,345,2619,1767561383714385234,35,42368889
59,94.9620,0,345,2619,1767561383718212533,35,42368889
60,94.9620,0,345,2619,1767561383725180256,35,42368889
61,94.9620,0,345,2619,1767561383735301235,35,42368889
62,94.9620,0,885,2619,1767561383739380661,35,42368889
63,94.9620,0,885,2619,1767561383743320439,35,42368889
64,94.9620,0,885,2619,1767561383751570617,35,42368889
65,94.9620,0,885,2619,1767561383756418997,35,42368889
66,95.4480,0,885,2619,1767561383760314423,35,42368889
67,95.4480,0,885,2619,1767561383766095691,35,42368889
68,95.4480,0,885,2619,1767561383772674937,35,42368889
69,95.4480,0,885,2619,1767561383776677339,35,42368889
70,95.4480,0,885,2619,1767561383780832668,35,42368889
71,95.4480,0,885,2619,1767561383787033294,35,42386660
72,95.4480,0,885,2619,1767561383802278426,35,42386660
73,95.4480,0,885,2619,1767561383810443101,35,42386660
74,95.4480,0,885,2619,1767561383814431935,35,42386660
75,95.4480,0,885,2619,1767561383818508704,35,42386660
76,95.4480,0,885,2619,1767561383822451010,35,42386660
77,95.4480,0,885,2619,1767561383833756652,35,42386660
