size,iteration,start_ts,stop_ts,time(ms)
32768,-21,1767559892417714812,1767559894487296018,2069.58
32768,-20,1767559894487366609,1767559894597737042,110.362
32768,-19,1767559894597765330,1767559894683399868,85.6285
32768,-18,1767559894683409980,1767559894768085390,84.6689
32768,-17,1767559894768093453,1767559894856103876,88.0045
32768,-16,1767559894856111236,1767559894940980660,84.8634
32768,-15,1767559894940988596,1767559895025052170,84.0578
32768,-14,1767559895025059978,1767559895113931162,88.8652
32768,-13,1767559895113939034,1767559895200181791,86.2367
32768,-12,1767559895200190879,1767559895285807465,85.6105
32768,-11,1767559895285815881,1767559895373515778,87.6934
32768,-10,1767559895373523906,1767559895459278571,85.7483
32768,-9,1767559895459286314,1767559895545196946,85.9047
32768,-8,1767559895545205170,1767559895630600926,85.39
32768,-7,1767559895630608158,1767559895716723396,86.109
32768,-6,1767559895716793091,1767559895802520972,85.7216
32768,-5,1767559895802529868,1767559895892791568,90.2559
32768,-4,1767559895892800528,1767559895978721976,85.9156
32768,-3,1767559895978730488,1767559896064777182,86.0405
32768,-2,1767559896064784670,1767559896150549191,85.7586
32768,-1,1767559896150556647,1767559896235888467,85.3261
32768,0,1767559896235896019,1767559896321224415,85.3221
32768,1,1767559896321232383,1767559896407343301,86.1047
32768,2,1767559896407350981,1767559896493222797,85.866
32768,3,1767559896493230349,1767559896578708728,85.4725
32768,4,1767559896578715128,1767559896664262691,85.5415
32768,5,1767559896664270338,1767559896749855789,85.5793
32768,6,1767559896749863309,1767559896835642901,85.7738
32768,7,1767559896835655317,1767559896921810939,86.1486
32768,8,1767559896921821115,1767559897007827138,85.9999
32768,9,1767559897007834625,1767559897093837384,85.9969
32768,10,1767559897093844872,1767559897179808271,85.9572
32768,11,1767559897179816655,1767559897265247387,85.4247
32768,12,1767559897265255547,1767559897350446760,85.185
32768,13,1767559897350455304,1767559897436155473,85.6941
32768,14,1767559897436163601,1767559897522166615,85.9972
32768,15,1767559897522175895,1767559897607702690,85.5208
32768,16,1767559897607710881,1767559897692948751,85.2314
32768,17,1767559897692956462,1767559897778881526,85.9195
32768,18,1767559897778889494,1767559897865337913,86.4424
32768,19,1767559897865346041,1767559897951682685,86.3308
32768,20,1767559897951690461,1767559898037872578,86.1761
32768,21,1767559898037881442,1767559898123871913,85.9845
32768,22,1767559898123880457,1767559898209836272,85.95
32768,23,1767559898209843664,1767559898295357819,85.5084
32768,24,1767559898295364475,1767559898381138564,85.7684
32768,25,1767559898381146180,1767559898467078187,85.9261
32768,26,1767559898467087403,1767559898552369880,85.2763
32768,27,1767559898552377784,1767559898638176704,85.7933
32768,28,1767559898638185248,1767559898724889857,86.6986
32768,29,1767559898724897921,1767559898814175790,89.2723
32768,30,1767559898814243277,1767559898901240460,86.9913
32768,31,1767559898901248204,1767559898987335538,86.0814
32768,32,1767559898987343026,1767559899073193338,85.8446
32768,33,1767559899073200890,1767559899158404103,85.1975
32768,34,1767559899158412199,1767559899244815275,86.3963
32768,35,1767559899244823723,1767559899330608243,85.7788
32768,36,1767559899330616243,1767559899417062262,86.4404
32768,37,1767559899417070166,1767559899503361339,86.2854
32768,38,1767559899503369019,1767559899588566824,85.1922
32768,39,1767559899588574952,1767559899673785941,85.2052
32768,40,1767559899673794293,1767559899760476439,86.6758
32768,41,1767559899760484470,1767559899847207255,86.7169
32768,42,1767559899847217239,1767559899933910489,86.6873
32768,43,1767559899933919065,1767559900019507587,85.5828
32768,44,1767559900019515491,1767559900105241516,85.7199
32768,45,1767559900105249484,1767559900191728271,86.4725
32768,46,1767559900191735951,1767559900276951164,85.2096
32768,47,1767559900276958908,1767559900362322184,85.3575
32768,48,1767559900362330120,1767559900449079113,86.7428
32768,49,1767559900449087016,1767559900534813202,85.7206
32768,50,1767559900534821617,1767559900620005151,85.1777
32768,51,1767559900620014591,1767559900705701832,85.6818
32768,52,1767559900705709192,1767559900792424553,86.7091
32768,53,1767559900792431753,1767559900879141386,86.7033
32768,54,1767559900879148298,1767559900965421295,86.2665
32768,55,1767559900965429167,1767559901051540373,86.1052
32768,56,1767559901051548149,1767559901138495860,86.9418
32768,57,1767559901138503156,1767559901223738561,85.2299
32768,58,1767559901223746337,1767559901309530921,85.7786
32768,59,1767559901309538121,1767559901396252330,86.7082
32768,60,1767559901396259754,1767559901481831477,85.566
32768,61,1767559901481839541,1767559901567059042,85.2133
32768,62,1767559901567066722,1767559901652934665,85.8624
32768,63,1767559901652942376,1767559901739718121,86.7686
32768,64,1767559901739726249,1767559901826444298,86.7113
32768,65,1767559901826452394,1767559901912571152,86.1131
32768,66,1767559901912581072,1767559901998484055,85.8969
32768,67,1767559901998493399,1767559902085208056,86.7086
32768,68,1767559902085217432,1767559902170868194,85.6447
32768,69,1767559902170875138,1767559902256966792,86.0855
32768,70,1767559902256974696,1767559902343703529,86.723
32768,71,1767559902343711209,1767559902429196532,85.4799
32768,72,1767559902429204372,1767559902514409857,85.1998
32768,73,1767559902514417697,1767559902600023211,85.5996
32768,74,1767559902600030731,1767559902686748940,86.7119
32768,75,1767559902686756588,1767559902773476109,86.7135
32768,76,1767559902773483821,1767559902859807057,86.3171
32768,77,1767559902859815409,1767559902946515570,86.6935
32768,78,1767559902946523890,1767559903031907614,85.378
32768,79,1767559903031915006,1767559903117866629,85.9458
32768,80,1767559903117874181,1767559903204591046,86.7097
32768,81,1767559903204598854,1767559903291322343,86.7178
32768,82,1767559903291330663,1767559903376831218,85.4947
32768,83,1767559903376838354,1767559903462105247,85.2613
32768,84,1767559903462112383,1767559903548650177,86.5314
32768,85,1767559903548657601,1767559903635375298,86.7118
32768,86,1767559903635382722,1767559903722078691,86.6901
32768,87,1767559903722086083,1767559903808806052,86.7139
32768,88,1767559903808813284,1767559903894185520,85.3659
32768,89,1767559903894193296,1767559903979378974,85.1799
32768,90,1767559903979386910,1767559904065008488,85.6156
32768,91,1767559904065016871,1767559904151737800,86.715
32768,92,1767559904151745384,1767559904238470473,86.7191
32768,93,1767559904238477865,1767559904324165747,85.6816
32768,94,1767559904324173299,1767559904410888820,86.7094
32768,95,1767559904410896820,1767559904500524733,89.6218
32768,96,1767559904500532125,1767559904587169631,86.6317
32768,97,1767559904587176575,1767559904673357476,86.1749
32768,98,1767559904673365252,1767559904759535433,86.1633
32768,99,1767559904759544169,1767559904845560752,86.0105
