sample,power(W),gpu_util(%),core_clock(MHz),mem_clock(MHz),timestamp_ns,temp(C),energy(mJ)
0,74.2980,0,345,2619,1767561488613746910,37,75395644
1,74.2980,0,345,2619,1767561488617921391,37,75395644
2,74.2980,0,345,2619,1767561488622824223,37,75395644
3,74.2980,0,345,2619,1767561488629694856,37,75395644
4,74.2980,0,345,2619,1767561488634448088,37,75395644
5,74.2980,0,345,2619,1767561488638630122,37,75395644
6,74.2980,0,345,2619,1767561488644763190,37,75412641
7,74.2980,0,345,2619,1767561488661974428,37,75412641
8,74.2980,0,345,2619,1767561488669970785,37,75412641
9,74.2980,0,345,2619,1767561488674708818,37,75412641
10,74.2980,0,345,2619,1767561488679221891,37,75412641
11,74.2980,0,345,2619,1767561488686399402,37,75412641
12,74.2980,0,345,2619,1767561488693443026,37,75412641
13,74.3190,0,345,2619,1767561488697727620,37,75412641
14,74.3190,0,345,2619,1767561488702681555,37,75412641
15,74.3190,0,345,2619,1767561488709351101,37,75412641
16,74.3190,0,345,2619,1767561488713544175,37,75412641
17,74.3190,0,345,2619,1767561488717565857,37,75412641
18,74.3190,0,345,2619,1767561488722669168,37,75412641
19,74.3190,0,345,2619,1767561488729202746,37,75412641
20,74.3190,0,345,2619,1767561488733434732,37,75412641
21,74.3190,0,345,2619,1767561488737511967,37,75412641
22,74.3190,0,345,2619,1767561488743131564,37,75428991
23,74.3190,0,345,2619,1767561488759327989,37,75428991
24,74.3190,0,345,2619,1767561488767916888,37,75428991
25,74.3190,0,345,2619,1767561488774861473,37,75428991
26,74.3190,0,345,2619,1767561488778961043,37,75428991
27,74.3190,0,345,2619,1767561488786083355,37,75428991
28,74.3190,0,345,2619,1767561488793093092,37,75428991
29,74.3190,0,345,2619,1767561488797648821,37,75428991
30,74.3190,0,345,2619,1767561488802627012,37,75428991
31,74.3190,0,345,2619,1767561488809229454,37,75428991
32,74.3190,0,345,2619,1767561488813555519,37,75428991
33,74.4020,0,345,2619,1767561488817953360,37,75428991
34,74.4020,0,345,2619,1767561488822643872,37,75428991
35,74.4020,0,345,2619,1767561488829217034,37,75428991
36,74.4020,0,345,2619,1767561488833490108,37,75428991
37,74.4020,0,345,2619,1767561488837812046,37,75428991
38,74.4020,0,345,2619,1767561488843361787,37,75445571
39,74.4020,0,345,2619,1767561488863931478,37,75445571
40,74.4020,0,345,2619,1767561488931219893,37,75445571
41,74.4020,0,345,2619,1767561488935155431,37,75445571
42,74.4020,0,345,2619,1767561488939127770,37,75445571
43,74.4020,0,345,2619,1767561488945700804,37,75462385
44,74.4020,0,345,2619,1767561488959547669,37,75462385
45,74.4020,0,885,2619,1767561488963661319,37,75462385
46,74.4020,0,885,2619,1767561488970168369,37,75462385
47,74.4020,0,885,2619,1767561488974048708,37,75462385
48,74.6910,0,885,2619,1767561488978267062,37,75462385
49,74.6910,0,885,2619,1767561488986032636,37,75462385
50,74.6910,0,885,2619,1767561488992781350,37,75462385
51,74.6910,0,885,2619,1767561488996712313,37,75462385
52,74.6910,0,885,2619,1767561489000642156,37,75462385
53,74.6910,0,885,2619,1767561489008699441,37,75462385
54,74.6910,0,885,2619,1767561489012690339,37,75462385
55,74.6910,0,885,2619,1767561489016691221,37,75462385
56,74.6910,0,885,2619,1767561489020942823,37,75462385
57,74.6910,0,885,2619,1767561489029152715,37,75462385
58,74.6910,0,885,2619,1767561489033695612,37,75462385
59,74.6910,0,885,2619,1767561489040458054,37,75479026
60,74.6910,0,885,2619,1767561489058580489,37,75479026
61,74.6910,0,885,2619,1767561489062776059,37,75479026
62,74.6910,0,885,2619,1767561489069292517,37,75479026
63,74.6910,0,885,2619,1767561489073399256,37,75479026
64,74.6910,0,885,2619,1767561489078284999,37,75479026
65,74.6910,0,885,2619,1767561489084889745,37,75479026
66,74.6910,0,885,2619,1767561489092456503,37,75479026
67,75.0860,0,885,2619,1767561489096506953,37,75479026
68,75.0860,0,885,2619,1767561489100647772,37,75479026
69,75.0860,0,885,2619,1767561489108669057,37,75479026
70,75.0860,0,885,2619,1767561489112347572,37,75479026
71,75.0860,0,885,2619,1767561489116623814,37,75479026
72,75.0860,0,885,2619,1767561489120549145,37,75479026
73,75.0860,0,885,2619,1767561489128674686,37,75479026
74,75.0860,0,885,2619,1767561489132797712,37,75479026
75,75.0860,0,885,2619,1767561489137727744,37,75479026
76,75.0860,0,885,2619,1767561489143311661,37,75496261
77,75.0860,0,885,2619,1767561489158992920,37,75496261
78,75.0860,0,885,2619,1767561489167742490,37,75496261
79,75.0860,0,885,2619,1767561489171653645,37,75496261
80,75.0860,0,885,2619,1767561489175493824,37,75496261
81,75.0860,0,885,2619,1767561489179432179,37,75496261
82,75.0860,0,885,2619,1767561489186984026,37,75496261
83,75.0860,0,885,2619,1767561489193804707,37,75496261
84,75.0860,0,885,2619,1767561489197662006,37,75496261
85,75.0860,0,885,2619,1767561489202481766,37,75496261
86,75.0860,0,885,2619,1767561489209069840,37,75496261
87,75.5220,0,885,2619,1767561489212858531,37,75496261
88,75.5220,0,885,2619,1767561489216697430,37,75496261
89,75.5220,0,885,2619,1767561489220594633,37,75496261
90,75.5220,0,885,2619,1767561489228561422,37,75496261
91,75.5220,0,885,2619,1767561489232509345,37,75496261
92,75.5220,0,885,2619,1767561489236475572,37,75496261
93,75.5220,0,885,2619,1767561489242562207,37,75512968
94,75.5220,0,885,2619,1767561489259191240,37,75512968
95,75.5220,0,885,2619,1767561489263439642,37,75512968
96,75.5220,0,885,2619,1767561489270003876,37,75512968
97,75.5220,0,885,2619,1767561489273867607,37,75512968
98,75.5220,0,885,2619,1767561489277698634,37,75512968
99,75.5220,0,885,2619,1767561489285065841,37,75512968
100,75.5220,0,885,2619,1767561489292537911,37,75512968
101,75.5220,0,885,2619,1767561489296458282,37,75512968
102,75.5220,0,885,2619,1767561489300404605,37,75512968
103,75.5220,0,885,2619,1767561489311358297,37,75512968
104,75.5220,0,885,2619,1767561489315471563,37,75512968
105,75.5220,0,885,2619,1767561489319500541,37,75512968
106,75.5220,0,885,2619,1767561489323506288,37,75512968
107,75.5220,0,885,2619,1767561489330345337,37,75512968
108,75.5220,0,885,2619,1767561489334479883,37,75512968
109,76.0500,0,885,2619,1767561489359468791,37,75530126
110,76.0500,0,885,2619,1767561489363616745,37,75530126
111,76.0500,0,885,2619,1767561489370114579,37,75530126
112,76.0500,0,885,2619,1767561489373731111,37,75530126
113,76.0500,0,885,2619,1767561489377155196,37,75530126
114,76.0500,0,885,2619,1767561489381536397,37,75530126
115,76.0500,0,885,2619,1767561489391105069,37,75530126
116,76.0500,0,885,2619,1767561489394790977,37,75530126
117,76.0500,0,885,2619,1767561489398252821,37,75530126
118,76.0500,0,885,2619,1767561489403021477,37,75530126
119,76.0500,0,885,2619,1767561489409512112,37,75530126
120,76.0500,0,885,2619,1767561489412812804,37,75530126
121,76.0500,0,885,2619,1767561489416143641,37,75530126
122,76.0500,0,885,2619,1767561489419588365,37,75530126
123,76.0500,0,885,2619,1767561489423608512,37,75530126
124,76.0500,0,1980,2619,1767561489430077034,37,75530126
125,76.0500,0,1980,2619,1767561489433489855,37,75530126
126,76.0500,0,1980,2619,1767561489437450513,37,75530126
127,76.0500,0,1980,2619,1767561489443069119,37,75551317
128,76.0500,0,1980,2619,1767561489458997545,37,75551317
129,81.3320,0,1980,2619,1767561489463042844,37,75551317
130,81.3320,0,1980,2619,1767561489469844901,37,75551317
131,81.3320,0,1980,2619,1767561489473135514,37,75551317
132,81.3320,0,1980,2619,1767561489476455439,37,75551317
133,81.3320,0,1980,2619,1767561489484697107,37,75551317
