sample,power(W),gpu_util(%),core_clock(MHz),mem_clock(MHz),timestamp_ns,temp(C),energy(mJ)
0,72.0080,0,345,2619,1767559971175570274,27,63933548
1,72.0080,0,345,2619,1767559971179879327,27,63933548
2,72.0080,0,345,2619,1767559971184137628,27,63933548
3,72.0080,0,345,2619,1767559971188518585,27,63950086
4,72.0080,0,345,2619,1767559971206178281,27,63950086
5,72.0080,0,345,2619,1767559971210966179,27,63950086
6,72.0080,0,345,2619,1767559971217684748,27,63950086
7,72.0080,0,345,2619,1767559971221857450,27,63950086
8,72.0080,0,345,2619,1767559971225931785,27,63950086
9,72.0080,0,345,2619,1767559971230746018,27,63950086
10,72.0080,0,345,2619,1767559971237818697,27,63950086
11,72.0130,0,345,2619,1767559971242180774,27,63950086
12,72.0130,0,345,2619,1767559971246439267,27,63950086
13,72.0130,0,345,2619,1767559971250614913,27,63950086
14,72.0130,0,345,2619,1767559971257226572,27,63950086
15,72.0130,0,345,2619,1767559971262237571,27,63950086
16,72.0130,0,345,2619,1767559971266364866,27,63950086
17,72.0130,0,345,2619,1767559971270488256,27,63950086
18,72.0130,0,345,2619,1767559971277092747,27,63950086
19,72.0130,0,345,2619,1767559971281663334,27,63950086
20,72.0130,0,345,2619,1767559971288428015,27,63966364
21,72.0130,0,345,2619,1767559971308144047,27,63966364
22,72.0130,0,345,2619,1767559971316335149,27,63966364
23,72.0130,0,345,2619,1767559971320311980,27,63966364
24,72.0130,0,345,2619,1767559971324784392,27,63966364
25,72.0130,0,345,2619,1767559971330967798,27,63966364
26,72.0130,0,345,2619,1767559971337646432,27,63966364
27,72.0130,0,345,2619,1767559971341821918,27,63966364
28,72.0130,0,345,2619,1767559971346325497,27,63966364
29,72.0130,0,345,2619,1767559971351040915,27,63966364
30,72.0130,0,345,2619,1767559971357648350,27,63966364
31,72.1120,0,345,2619,1767559971361809148,27,63966364
32,72.1120,0,345,2619,1767559971366067769,27,63966364
33,72.1120,0,345,2619,1767559971370572373,27,63966364
34,72.1120,0,345,2619,1767559971386386069,27,63966364
35,72.1120,0,345,2619,1767559971464733530,27,63983046
36,72.1120,0,345,2619,1767559971468801465,27,63983046
37,72.1120,0,345,2619,1767559971476930487,27,63983046
38,72.1120,0,345,2619,1767559971483136388,27,63983046
39,72.1120,0,345,2619,1767559971488421786,27,63999028
40,72.1120,0,345,2619,1767559971510118472,27,63999028
41,72.1120,0,345,2619,1767559971519343390,27,63999028
42,72.1120,0,345,2619,1767559971523598811,27,63999028
43,72.1120,0,345,2619,1767559971530714561,27,63999028
44,72.1120,0,345,2619,1767559971537296140,27,63999028
45,72.2450,0,345,2619,1767559971541166509,27,63999028
46,72.2450,0,345,2619,1767559971544986670,27,63999028
47,72.2450,0,345,2619,1767559971550415394,27,63999028
48,72.2450,0,345,2619,1767559971557027628,27,63999028
49,72.2450,0,345,2619,1767559971561033804,27,63999028
50,72.2450,0,345,2619,1767559971565921956,27,63999028
51,72.2450,0,345,2619,1767559971570350848,27,63999028
52,72.2450,0,345,2619,1767559971577163209,27,63999028
53,72.2450,0,345,2619,1767559971580858283,27,63999028
54,72.2450,0,345,2619,1767559971586565853,27,63999028
55,72.2450,0,345,2619,1767559971593261414,27,64015942
56,72.2450,0,345,2619,1767559971607226453,27,64015942
57,72.2450,0,345,2619,1767559971615303796,27,64015942
58,72.2450,0,345,2619,1767559971619371955,27,64015942
59,72.2450,0,345,2619,1767559971624064013,27,64015942
60,72.2450,0,345,2619,1767559971628220491,27,64015942
61,72.2450,0,345,2619,1767559971636445032,27,64015942
62,72.2450,0,900,2619,1767559971640363753,27,64015942
63,72.2450,0,900,2619,1767559971644315529,27,64015942
64,72.2450,0,900,2619,1767559971648469895,27,64015942
65,72.2450,0,900,2619,1767559971656799427,27,64015942
66,72.6830,0,900,2619,1767559971660970850,27,64015942
67,72.6830,0,900,2619,1767559971664756163,27,64015942
68,72.6830,0,900,2619,1767559971670952753,27,64015942
69,72.6830,0,900,2619,1767559971677454652,27,64015942
70,72.6830,0,900,2619,1767559971681437788,27,64015942
71,72.6830,0,900,2619,1767559971685348828,27,64015942
72,72.6830,0,900,2619,1767559971690988302,27,64032479
73,72.6830,0,900,2619,1767559971707187819,27,64032479
74,72.6830,0,900,2619,1767559971711162763,27,64032479
75,72.6830,0,900,2619,1767559971717742997,27,64032479
76,72.6830,0,900,2619,1767559971721499191,27,64032479
77,72.6830,0,900,2619,1767559971725406231,27,64032479
78,72.6830,0,900,2619,1767559971730821483,27,64032479
79,72.6830,0,900,2619,1767559971737435094,27,64032479
80,72.6830,0,900,2619,1767559971741384950,27,64032479
81,72.6830,0,900,2619,1767559971745197655,27,64032479
82,72.6830,0,900,2619,1767559971750332877,27,64032479
83,72.6830,0,900,2619,1767559971756880952,27,64032479
84,72.6830,0,900,2619,1767559971760648762,27,64032479
85,72.6830,0,900,2619,1767559971764756024,27,64032479
86,73.2220,0,900,2619,1767559971779358306,27,64032479
87,73.2220,0,900,2619,1767559971783093284,27,64032479
88,73.2220,0,900,2619,1767559971786482024,27,64032479
89,73.2220,0,900,2619,1767559971793622414,27,64049783
90,73.2220,0,900,2619,1767559971806928610,27,64049783
91,73.2220,0,900,2619,1767559971811202752,27,64049783
92,73.2220,0,900,2619,1767559971817697131,27,64049783
93,73.2220,0,900,2619,1767559971821133039,27,64049783
94,73.2220,0,900,2619,1767559971825532428,27,64049783
95,73.2220,0,900,2619,1767559971832915408,27,64049783
96,73.2220,0,900,2619,1767559971839427739,27,64049783
97,73.2220,0,900,2619,1767559971842713952,27,64049783
98,73.2220,0,900,2619,1767559971846216356,27,64049783
99,73.2220,0,900,2619,1767559971850274083,27,64049783
100,73.2220,0,900,2619,1767559971860933165,27,64049783
101,73.2220,0,1980,2619,1767559971864312465,27,64049783
102,73.2220,0,1980,2619,1767559971868264369,27,64049783
103,73.2220,0,1980,2619,1767559971876313936,27,64049783
104,73.2220,0,1980,2619,1767559971880262000,27,64049783
105,78.0720,0,1980,2619,1767559971883759668,27,64049783
106,78.0720,0,1980,2619,1767559971888033969,27,64070248
107,78.0720,0,1980,2619,1767559971905840385,27,64070248
108,78.0720,0,1980,2619,1767559971914976183,27,64070248
109,78.0720,0,1980,2619,1767559971918408507,27,64070248
110,78.0720,0,1980,2619,1767559971922071357,27,64070248
111,78.0720,0,1980,2619,1767559971925606176,27,64070248
112,78.0720,0,1980,2619,1767559971933093892,27,64070248
113,78.0720,0,1980,2619,1767559971939579343,27,64070248
114,78.0720,0,1980,2619,1767559971942908692,28,64070248
115,78.0720,0,1980,2619,1767559971947195825,28,64070248
116,78.0720,0,1980,2619,1767559971951251088,28,64070248
117,78.0720,0,1980,2619,1767559971957700892,28,64070248
118,78.0720,0,1980,2619,1767559971961519069,28,64070248
119,78.0720,0,1980,2619,1767559971964852610,28,64070248
120,78.0720,0,1980,2619,1767559971968243847,28,64070248
